Year,Year ending,Local Government Area,Charge Status,Incidents Recorded
2019,September,Benalla,Charges laid,512
2019,September,Benalla,No charges laid,180
2019,September,Benalla,Unsolved,290
2019,September,Boroondara,Charges laid,"1,549"
2019,September,Boroondara,No charges laid,514
2019,September,Boroondara,Unsolved,"3,813"
2019,September,Brimbank,Charges laid,"6,237"
2019,September,Brimbank,No charges laid,"1,677"
2019,September,Brimbank,Unsolved,"6,599"
2019,September,Buloke,Charges laid,55
2019,September,Buloke,No charges laid,52
2019,September,Buloke,Unsolved,91
2019,September,Campaspe,Charges laid,"1,357"
2019,September,Campaspe,No charges laid,382
2019,September,Campaspe,Unsolved,"1,268"
2019,September,Cardinia,Charges laid,"1,914"
2019,September,Cardinia,No charges laid,833
2019,September,Cardinia,Unsolved,"2,251"
2019,September,Casey,Charges laid,"5,575"
2019,September,Casey,No charges laid,"3,186"
2019,September,Casey,Unsolved,"7,871"
2019,September,Central Goldfields,Charges laid,455
2019,September,Central Goldfields,No charges laid,174
2019,September,Central Goldfields,Unsolved,253
2019,September,Colac-Otway,Charges laid,609
2019,September,Colac-Otway,No charges laid,223
2019,September,Colac-Otway,Unsolved,491
2019,September,Corangamite,Charges laid,249
2019,September,Corangamite,No charges laid,79
2019,September,Corangamite,Unsolved,190
2019,September,Darebin,Charges laid,"3,788"
2019,September,Darebin,No charges laid,"1,115"
2019,September,Darebin,Unsolved,"6,515"
2019,September,East Gippsland,Charges laid,"1,668"
2019,September,East Gippsland,No charges laid,781
2019,September,East Gippsland,Unsolved,960
2019,September,Frankston,Charges laid,"5,221"
2019,September,Frankston,No charges laid,"1,490"
2019,September,Frankston,Unsolved,"4,248"
2019,September,Gannawarra,Charges laid,343
2019,September,Gannawarra,No charges laid,158
2019,September,Gannawarra,Unsolved,140
2019,September,Glen Eira,Charges laid,"1,403"
2019,September,Glen Eira,No charges laid,744
2019,September,Glen Eira,Unsolved,"3,299"
2019,September,Glenelg,Charges laid,570
2019,September,Glenelg,No charges laid,185
2019,September,Glenelg,Unsolved,247
2019,September,Golden Plains,Charges laid,121
2019,September,Golden Plains,No charges laid,85
2019,September,Golden Plains,Unsolved,261
2019,September,Greater Bendigo,Charges laid,"4,296"
2019,September,Greater Bendigo,No charges laid,"1,172"
2019,September,Greater Bendigo,Unsolved,"3,161"
2019,September,Greater Dandenong,Charges laid,"5,846"
2019,September,Greater Dandenong,No charges laid,"2,317"
2019,September,Greater Dandenong,Unsolved,"6,508"
2019,September,Greater Geelong,Charges laid,"7,040"
2019,September,Greater Geelong,No charges laid,"1,925"
2019,September,Greater Geelong,Unsolved,"7,346"
2019,September,Greater Shepparton,Charges laid,"3,045"
2019,September,Greater Shepparton,No charges laid,907
2019,September,Greater Shepparton,Unsolved,"2,549"
2019,September,Hepburn,Charges laid,219
2019,September,Hepburn,No charges laid,112
2019,September,Hepburn,Unsolved,348
