Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2019,September,2 Eastern, Wodonga,"2,685","6,380.2"
2019,September,2 Eastern, Yarra Ranges,"6,115","3,834.8"
2019,September,2 Eastern,Total,"88,569","5,150.3"
2019,September,3 Southern Metro, Bayside,"3,918","3,666.4"
2019,September,3 Southern Metro, Cardinia,"4,998","4,456.2"
2019,September,3 Southern Metro, Casey,"16,632","4,700.0"
2019,September,3 Southern Metro, Frankston,"10,959","7,682.8"
2019,September,3 Southern Metro, Glen Eira,"5,446","3,479.6"
2019,September,3 Southern Metro, Greater Dandenong,"14,671","8,722.3"
2019,September,3 Southern Metro, Kingston,"8,883","5,358.2"
2019,September,3 Southern Metro, Mornington Peninsula,"8,504","5,072.9"
2019,September,3 Southern Metro, Port Phillip,"9,683","8,376.2"
2019,September,3 Southern Metro, Stonnington,"8,760","7,438.4"
2019,September,3 Southern Metro,Total,"92,454","5,753.1"
2019,September,4 Western, Ararat,848,"7,159.1"
2019,September,4 Western, Ballarat,"8,542","7,800.6"
2019,September,4 Western, Buloke,198,"3,233.2"
2019,September,4 Western, Campaspe,"3,007","7,992.7"
2019,September,4 Western, Central Goldfields,882,"6,688.9"
2019,September,4 Western, Colac-Otway,"1,323","6,135.2"
2019,September,4 Western, Corangamite,518,"3,233.5"
2019,September,4 Western, Gannawarra,641,"6,121.1"
2019,September,4 Western, Glenelg,"1,002","5,093.0"
2019,September,4 Western, Golden Plains,467,"1,968.6"
2019,September,4 Western, Greater Bendigo,"8,629","7,307.0"
2019,September,4 Western, Greater Geelong,"16,311","6,299.3"
2019,September,4 Western, Hepburn,679,"4,250.4"
2019,September,4 Western, Hindmarsh,247,"4,420.2"
2019,September,4 Western, Horsham,"1,380","6,927.4"
2019,September,4 Western, Loddon,371,"4,944.0"
2019,September,4 Western, Macedon Ranges,"1,764","3,511.8"
2019,September,4 Western, Mildura,"5,630","10,093.8"
2019,September,4 Western, Moorabool,"1,598","4,559.3"
2019,September,4 Western, Mount Alexander,885,"4,480.1"
2019,September,4 Western, Moyne,527,"3,108.6"
2019,September,4 Western, Northern Grampians,783,"6,867.2"
2019,September,4 Western, Pyrenees,391,"5,232.9"
2019,September,4 Western, Queenscliffe,111,"3,775.5"
2019,September,4 Western, Southern Grampians,957,"5,944.1"
2019,September,4 Western, Surf Coast,967,"2,890.4"
2019,September,4 Western, Swan Hill,"1,826","8,843.0"
2019,September,4 Western, Warrnambool,"2,801","7,961.7"
2019,September,4 Western, West Wimmera,142,"3,697.0"
2019,September,4 Western, Yarriambiack,303,"4,563.9"
2019,September,4 Western,Total,"63,730","6,302.5"
2019,September,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,440",
2019,September,Justice Institutions and Immigration Facilities,Total,"1,440",
2019,September,Unincorporated Vic, Unincorporated Vic,95,
2019,September,Unincorporated Vic,Total,95,
2018,September,1 North West Metro, Banyule,"7,203","5,530.1"
2018,September,1 North West Metro, Brimbank,"14,497","6,944.9"
2018,September,1 North West Metro, Darebin,"11,507","7,118.3"
2018,September,1 North West Metro, Hobsons Bay,"4,738","4,910.8"
2018,September,1 North West Metro, Hume,"15,610","6,955.6"
2018,September,1 North West Metro, Maribyrnong,"6,974","7,629.1"
2018,September,1 North West Metro, Melbourne,"27,403","16,089.4"
2018,September,1 North West Metro, Melton,"8,017","5,115.6"
2018,September,1 North West Metro, Moonee Valley,"6,845","5,351.6"
2018,September,1 North West Metro, Moreland,"11,537","6,346.7"
2018,September,1 North West Metro, Nillumbik,"1,634","2,516.1"
2018,September,1 North West Metro, Whittlesea,"11,907","5,331.2"
2018,September,1 North West Metro, Wyndham,"11,163","4,371.4"
2018,September,1 North West Metro, Yarra,"11,343","11,507.9"
2018,September,1 North West Metro,Total,"150,378","6,860.6"
2018,September,2 Eastern, Alpine,374,"2,937.9"
2018,September,2 Eastern, Bass Coast,"1,611","4,560.4"
2018,September,2 Eastern, Baw Baw,"3,067","5,896.7"
2018,September,2 Eastern, Benalla,901,"6,425.2"
2018,September,2 Eastern, Boroondara,"5,549","3,059.4"
2018,September,2 Eastern, East Gippsland,"3,177","6,786.1"
2018,September,2 Eastern, Greater Shepparton,"6,170","9,347.4"
2018,September,2 Eastern, Indigo,335,"2,031.7"
2018,September,2 Eastern, Knox,"8,082","4,951.8"
2018,September,2 Eastern, Latrobe,"9,879","13,135.4"
2018,September,2 Eastern, Manningham,"3,474","2,767.4"
2018,September,2 Eastern, Mansfield,324,"3,608.4"
2018,September,2 Eastern, Maroondah,"5,702","4,852.6"
2018,September,2 Eastern, Mitchell,"2,994","6,758.8"
2018,September,2 Eastern, Moira,"1,499","5,030.7"
2018,September,2 Eastern, Monash,"8,275","4,133.1"
2018,September,2 Eastern, Murrindindi,549,"3,792.0"
2018,September,2 Eastern, South Gippsland,992,"3,354.2"
2018,September,2 Eastern, Strathbogie,452,"4,246.5"
2018,September,2 Eastern, Towong,177,"2,923.7"
2018,September,2 Eastern, Wangaratta,"1,738","5,975.4"
2018,September,2 Eastern, Wellington,"2,703","6,140.8"
2018,September,2 Eastern, Whitehorse,"6,265","3,554.1"
2018,September,2 Eastern, Wodonga,"2,413","5,824.4"
2018,September,2 Eastern, Yarra Ranges,"5,516","3,487.4"
2018,September,2 Eastern,Total,"82,218","4,838.5"
2018,September,3 Southern Metro, Bayside,"3,814","3,606.8"
2018,September,3 Southern Metro, Cardinia,"4,475","4,177.7"
2018,September,3 Southern Metro, Casey,"15,077","4,428.6"
2018,September,3 Southern Metro, Frankston,"11,094","7,821.1"
2018,September,3 Southern Metro, Glen Eira,"4,971","3,229.6"
2018,September,3 Southern Metro, Greater Dandenong,"13,933","8,386.3"
2018,September,3 Southern Metro, Kingston,"8,220","5,029.0"
2018,September,3 Southern Metro, Mornington Peninsula,"8,096","4,882.3"
2018,September,3 Southern Metro, Port Phillip,"9,937","8,773.2"
2018,September,3 Southern Metro, Stonnington,"8,238","7,084.6"
2018,September,3 Southern Metro,Total,"87,855","5,581.5"
2018,September,4 Western, Ararat,931,"7,893.2"
2018,September,4 Western, Ballarat,"8,112","7,558.4"
2018,September,4 Western, Buloke,174,"2,814.2"
2018,September,4 Western, Campaspe,"2,645","7,036.4"
2018,September,4 Western, Central Goldfields,"1,001","7,578.7"
2018,September,4 Western, Colac-Otway,"1,236","5,748.3"
2018,September,4 Western, Corangamite,563,"3,488.4"
2018,September,4 Western, Gannawarra,463,"4,390.3"
2018,September,4 Western, Glenelg,"1,074","5,461.8"
2018,September,4 Western, Golden Plains,505,"2,184.4"
2018,September,4 Western, Greater Bendigo,"7,341","6,326.2"
2018,September,4 Western, Greater Geelong,"15,967","6,330.4"
2018,September,4 Western, Hepburn,645,"4,079.2"
2018,September,4 Western, Hindmarsh,248,"4,394.0"
2018,September,4 Western, Horsham,"1,617","8,136.3"
2018,September,4 Western, Loddon,367,"4,884.9"
2018,September,4 Western, Macedon Ranges,"1,608","3,255.9"
2018,September,4 Western, Mildura,"5,305","9,555.8"
2018,September,4 Western, Moorabool,"1,745","5,108.9"
2018,September,4 Western, Mount Alexander,667,"3,418.1"
2018,September,4 Western, Moyne,392,"2,321.3"
2018,September,4 Western, Northern Grampians,749,"6,552.9"
2018,September,4 Western, Pyrenees,338,"4,596.8"
2018,September,4 Western, Queenscliffe,94,"3,152.2"
2018,September,4 Western, Southern Grampians,"1,123","6,960.5"
2018,September,4 Western, Surf Coast,861,"2,669.6"
2018,September,4 Western, Swan Hill,"1,809","8,713.9"
2018,September,4 Western, Warrnambool,"2,734","7,842.1"
2018,September,4 Western, West Wimmera,118,"3,055.4"
2018,September,4 Western, Yarriambiack,351,"5,271.9"
2018,September,4 Western,Total,"60,783","6,103.1"
2018,September,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,489",
2018,September,Justice Institutions and Immigration Facilities,Total,"1,489",
2018,September,Unincorporated Vic, Unincorporated Vic,95,
2018,September,Unincorporated Vic,Total,95,
2017,September,1 North West Metro, Banyule,"7,459","5,777.0"
2017,September,1 North West Metro, Brimbank,"13,299","6,424.7"
2017,September,1 North West Metro, Darebin,"11,946","7,525.0"
2017,September,1 North West Metro, Hobsons Bay,"4,939","5,195.1"
2017,September,1 North West Metro, Hume,"15,451","7,178.6"
2017,September,1 North West Metro, Maribyrnong,"6,533","7,310.7"
2017,September,1 North West Metro, Melbourne,"26,613","16,722.9"
2017,September,1 North West Metro, Melton,"8,347","5,616.4"
2017,September,1 North West Metro, Moonee Valley,"6,890","5,493.9"
2017,September,1 North West Metro, Moreland,"10,808","6,107.1"
2017,September,1 North West Metro, Nillumbik,"2,025","3,133.8"
2017,September,1 North West Metro, Whittlesea,"11,631","5,392.6"
2017,September,1 North West Metro, Wyndham,"10,783","4,473.0"
2017,September,1 North West Metro, Yarra,"10,708","11,154.9"
2017,September,1 North West Metro,Total,"147,432","6,947.6"
2017,September,2 Eastern, Alpine,294,"2,326.3"
2017,September,2 Eastern, Bass Coast,"2,072","6,025.7"
2017,September,2 Eastern, Baw Baw,"2,765","5,456.2"
2017,September,2 Eastern, Benalla,974,"6,970.1"
2017,September,2 Eastern, Boroondara,"6,259","3,483.5"
2017,September,2 Eastern, East Gippsland,"2,924","6,337.8"
2017,September,2 Eastern, Greater Shepparton,"5,936","9,055.1"
2017,September,2 Eastern, Indigo,376,"2,302.1"
2017,September,2 Eastern, Knox,"8,911","5,506.5"
2017,September,2 Eastern, Latrobe,"9,532","12,724.9"
2017,September,2 Eastern, Manningham,"3,822","3,075.6"
2017,September,2 Eastern, Mansfield,526,"5,980.0"
2017,September,2 Eastern, Maroondah,"6,563","5,642.1"
2017,September,2 Eastern, Mitchell,"3,135","7,307.2"
2017,September,2 Eastern, Moira,"1,524","5,139.6"
2017,September,2 Eastern, Monash,"8,448","4,290.0"
2017,September,2 Eastern, Murrindindi,543,"3,814.8"
2017,September,2 Eastern, South Gippsland,"1,084","3,697.0"
2017,September,2 Eastern, Strathbogie,446,"4,254.1"
2017,September,2 Eastern, Towong,170,"2,815.0"
2017,September,2 Eastern, Wangaratta,"1,860","6,446.5"
2017,September,2 Eastern, Wellington,"2,939","6,709.9"
2017,September,2 Eastern, Whitehorse,"6,651","3,838.7"
2017,September,2 Eastern, Wodonga,"2,411","5,907.6"
2017,September,2 Eastern, Yarra Ranges,"5,849","3,728.6"
2017,September,2 Eastern,Total,"86,014","5,124.0"
2017,September,3 Southern Metro, Bayside,"3,742","3,588.3"
2017,September,3 Southern Metro, Cardinia,"4,689","4,579.0"
2017,September,3 Southern Metro, Casey,"16,296","4,987.0"
2017,September,3 Southern Metro, Frankston,"11,389","8,093.5"
2017,September,3 Southern Metro, Glen Eira,"5,551","3,665.1"
2017,September,3 Southern Metro, Greater Dandenong,"14,195","8,681.0"
2017,September,3 Southern Metro, Kingston,"8,018","4,978.5"
2017,September,3 Southern Metro, Mornington Peninsula,"8,795","5,368.2"
2017,September,3 Southern Metro, Port Phillip,"9,921","8,965.6"
2017,September,3 Southern Metro, Stonnington,"8,079","7,101.0"
2017,September,3 Southern Metro,Total,"90,675","5,893.9"
2017,September,4 Western, Ararat,925,"7,868.3"
2017,September,4 Western, Ballarat,"9,328","8,848.2"
2017,September,4 Western, Buloke,154,"2,481.9"
2017,September,4 Western, Campaspe,"2,615","6,955.3"
2017,September,4 Western, Central Goldfields,868,"6,601.8"
2017,September,4 Western, Colac-Otway,"1,522","7,102.2"
2017,September,4 Western, Corangamite,810,"4,996.9"
2017,September,4 Western, Gannawarra,507,"4,797.0"
2017,September,4 Western, Glenelg,"1,324","6,723.5"
2017,September,4 Western, Golden Plains,524,"2,321.9"
2017,September,4 Western, Greater Bendigo,"7,615","6,674.5"
2017,September,4 Western, Greater Geelong,"17,088","6,954.0"
2017,September,4 Western, Hepburn,652,"4,171.7"
2017,September,4 Western, Hindmarsh,275,"4,809.4"
2017,September,4 Western, Horsham,"1,625","8,172.0"
2017,September,4 Western, Loddon,304,"4,049.6"
2017,September,4 Western, Macedon Ranges,"1,647","3,401.3"
2017,September,4 Western, Mildura,"4,962","8,998.6"
2017,September,4 Western, Moorabool,"1,876","5,609.7"
2017,September,4 Western, Mount Alexander,813,"4,213.1"
2017,September,4 Western, Moyne,515,"3,066.8"
2017,September,4 Western, Northern Grampians,881,"7,649.6"
2017,September,4 Western, Pyrenees,355,"4,824.7"
2017,September,4 Western, Queenscliffe,130,"4,393.4"
2017,September,4 Western, Southern Grampians,994,"6,165.1"
2017,September,4 Western, Surf Coast,"1,047","3,340.0"
2017,September,4 Western, Swan Hill,"1,757","8,428.1"
2017,September,4 Western, Warrnambool,"2,693","7,790.2"
2017,September,4 Western, West Wimmera,137,"3,518.2"
2017,September,4 Western, Yarriambiack,342,"5,116.7"
2017,September,4 Western,Total,"64,285","6,549.3"
2017,September,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,395",
2017,September,Justice Institutions and Immigration Facilities,Total,"1,395",
2017,September,Unincorporated Vic, Unincorporated Vic,113,
2017,September,Unincorporated Vic,Total,113,
2016,September,1 North West Metro, Banyule,"7,274","5,707.5"
2016,September,1 North West Metro, Brimbank,"15,371","7,527.8"
