Year,Year ending,Local Government Area,Location Division,Location Subdivision,Location Group,Incidents Recorded
2020,September,Loddon,3 Other,36 Manufacturing,361 Factory,2
2020,September,Loddon,3 Other,36 Manufacturing,362 Any Manufacturing,1
2020,September,Loddon,3 Other,37 Agricultural,371 Farmland/Agricultural,22
2020,September,Loddon,3 Other,37 Agricultural,373 Other Agricultural,4
2020,September,Loddon,3 Other,38 Recreational,381 Licenced Premises,1
2020,September,Loddon,3 Other,38 Recreational,384 Sport Area/Facility,1
2020,September,Loddon,3 Other,38 Recreational,386 Other Rec./Sports,2
2020,September,Loddon,3 Other,39 Other location,392 Other Location (Not Elsewhere),8
2020,September,Macedon Ranges,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,13
2020,September,Macedon Ranges,1 Residential,11 Dwelling - private,112 House,503
2020,September,Macedon Ranges,1 Residential,11 Dwelling - private,113 Bungalow,5
2020,September,Macedon Ranges,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,2
2020,September,Macedon Ranges,1 Residential,11 Dwelling - private,117 Farm House,20
2020,September,Macedon Ranges,1 Residential,12 Dwelling  - non-private,121 Boarding House,1
2020,September,Macedon Ranges,1 Residential,12 Dwelling  - non-private,122 Holiday Home,2
2020,September,Macedon Ranges,1 Residential,12 Dwelling  - non-private,123 Guest House,4
2020,September,Macedon Ranges,1 Residential,12 Dwelling  - non-private,124 Nursing Home,6
2020,September,Macedon Ranges,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,2
2020,September,Macedon Ranges,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,3
2020,September,Macedon Ranges,1 Residential,13 Grounds/surrounding land,1310 Farm Building,4
2020,September,Macedon Ranges,1 Residential,13 Grounds/surrounding land,132 Backyard,30
2020,September,Macedon Ranges,1 Residential,13 Grounds/surrounding land,133 Frontyard,45
2020,September,Macedon Ranges,1 Residential,13 Grounds/surrounding land,134 Garage,17
2020,September,Macedon Ranges,1 Residential,13 Grounds/surrounding land,135 Shed,31
2020,September,Macedon Ranges,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,15
2020,September,Macedon Ranges,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),12
2020,September,Macedon Ranges,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,61
2020,September,Macedon Ranges,2 Community,21 Education,211 School,22
2020,September,Macedon Ranges,2 Community,21 Education,212 School Grounds,8
2020,September,Macedon Ranges,2 Community,21 Education,213 Other Educational,1
2020,September,Macedon Ranges,2 Community,22 Health,224 Other Health,5
2020,September,Macedon Ranges,2 Community,23 Religious,231 Church,4
2020,September,Macedon Ranges,2 Community,24 Public Transport,241 Train,1
2020,September,Macedon Ranges,2 Community,24 Public Transport,242 Train Station,25
2020,September,Macedon Ranges,2 Community,24 Public Transport,243 Railway Carpark,13
2020,September,Macedon Ranges,2 Community,24 Public Transport,246 Depot/Terminal,2
2020,September,Macedon Ranges,2 Community,24 Public Transport,249 Taxi,1
2020,September,Macedon Ranges,2 Community,25 Other Transport,251 Private Car,11
2020,September,Macedon Ranges,2 Community,25 Other Transport,255 Carpark (Single Level),33
2020,September,Macedon Ranges,2 Community,25 Other Transport,256 Carpark (Multi Level),1
2020,September,Macedon Ranges,2 Community,25 Other Transport,257 Other Transport Type/Area,10
2020,September,Macedon Ranges,2 Community,26 Justice,261 Police Station,8
2020,September,Macedon Ranges,2 Community,26 Justice,262 Court,28
2020,September,Macedon Ranges,2 Community,26 Justice,264 Youth Training Centre,2
2020,September,Macedon Ranges,2 Community,27 Open Space,271 Parkland/Reserve,37
2020,September,Macedon Ranges,2 Community,27 Open Space,272 Rural,15
2020,September,Macedon Ranges,2 Community,27 Open Space,273 Vacant Block,3
2020,September,Macedon Ranges,2 Community,27 Open Space,275 Other Open Space,7
2020,September,Macedon Ranges,2 Community,28 Street/footpath,281 Street/Lane/Footpath,429
2020,September,Macedon Ranges,2 Community,29 Other community location,291 Cemetery,3
2020,September,Macedon Ranges,2 Community,29 Other community location,292 Civic Centre,2
2020,September,Macedon Ranges,2 Community,29 Other community location,294 Car Wash,2
2020,September,Macedon Ranges,3 Other,31 Admin/professional,311 Business Office,7
2020,September,Macedon Ranges,3 Other,31 Admin/professional,312 Other Admin/Professional,2
2020,September,Macedon Ranges,3 Other,32 Financial,321 Bank,3
2020,September,Macedon Ranges,3 Other,33 Retail,331 Chemist/Pharmacy,3
2020,September,Macedon Ranges,3 Other,33 Retail,3310 24Hr Convenience,1
2020,September,Macedon Ranges,3 Other,33 Retail,3311 Restaurant/Fastfood,20
2020,September,Macedon Ranges,3 Other,33 Retail,3312 Other Retail,31
2020,September,Macedon Ranges,3 Other,33 Retail,332 Service Station,73
2020,September,Macedon Ranges,3 Other,33 Retail,335 Supermarket,40
2020,September,Macedon Ranges,3 Other,33 Retail,336 Department Store,2
2020,September,Macedon Ranges,3 Other,33 Retail,337 Shopping Complex,13
2020,September,Macedon Ranges,3 Other,33 Retail,338 Car Sales Yard,1
2020,September,Macedon Ranges,3 Other,33 Retail,339 Milkbar,3
2020,September,Macedon Ranges,3 Other,34 Wholesale,341 Any Wholesale,1
2020,September,Macedon Ranges,3 Other,35 Warehousing/storage,351 Warehousing/Storage,2
2020,September,Macedon Ranges,3 Other,36 Manufacturing,361 Factory,15
2020,September,Macedon Ranges,3 Other,36 Manufacturing,362 Any Manufacturing,1
2020,September,Macedon Ranges,3 Other,37 Agricultural,371 Farmland/Agricultural,13
2020,September,Macedon Ranges,3 Other,37 Agricultural,373 Other Agricultural,2
2020,September,Macedon Ranges,3 Other,38 Recreational,381 Licenced Premises,24
2020,September,Macedon Ranges,3 Other,38 Recreational,384 Sport Area/Facility,18
2020,September,Macedon Ranges,3 Other,38 Recreational,385 Gaming Venue,3
2020,September,Macedon Ranges,3 Other,38 Recreational,386 Other Rec./Sports,6
2020,September,Macedon Ranges,3 Other,39 Other location,392 Other Location (Not Elsewhere),30
2020,September,Macedon Ranges,3 Other,39 Other location,393 Construction Site,5
2020,September,Manningham,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,236
2020,September,Manningham,1 Residential,11 Dwelling - private,112 House,"1,051"
2020,September,Manningham,1 Residential,11 Dwelling - private,113 Bungalow,3
2020,September,Manningham,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,2
2020,September,Manningham,1 Residential,11 Dwelling - private,116 Ministry Of Housing,3
2020,September,Manningham,1 Residential,12 Dwelling  - non-private,121 Boarding House,5
2020,September,Manningham,1 Residential,12 Dwelling  - non-private,122 Holiday Home,3
2020,September,Manningham,1 Residential,12 Dwelling  - non-private,123 Guest House,3
2020,September,Manningham,1 Residential,12 Dwelling  - non-private,124 Nursing Home,16
2020,September,Manningham,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,4
2020,September,Manningham,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,6
2020,September,Manningham,1 Residential,13 Grounds/surrounding land,132 Backyard,20
2020,September,Manningham,1 Residential,13 Grounds/surrounding land,133 Frontyard,69
2020,September,Manningham,1 Residential,13 Grounds/surrounding land,134 Garage,35
2020,September,Manningham,1 Residential,13 Grounds/surrounding land,135 Shed,5
2020,September,Manningham,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,16
2020,September,Manningham,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),20
2020,September,Manningham,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,181
2020,September,Manningham,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,64
2020,September,Manningham,2 Community,21 Education,211 School,34
2020,September,Manningham,2 Community,21 Education,212 School Grounds,16
2020,September,Manningham,2 Community,21 Education,213 Other Educational,8
2020,September,Manningham,2 Community,22 Health,221 Hospital,2
2020,September,Manningham,2 Community,22 Health,222 Medical Centre,13
2020,September,Manningham,2 Community,22 Health,223 Dental,2
2020,September,Manningham,2 Community,22 Health,224 Other Health,4
2020,September,Manningham,2 Community,23 Religious,231 Church,7
2020,September,Manningham,2 Community,23 Religious,232 Other religious,1
2020,September,Manningham,2 Community,24 Public Transport,245 Bus/Bus Stop,19
2020,September,Manningham,2 Community,24 Public Transport,246 Depot/Terminal,2
2020,September,Manningham,2 Community,24 Public Transport,249 Taxi,7
2020,September,Manningham,2 Community,25 Other Transport,251 Private Car,9
2020,September,Manningham,2 Community,25 Other Transport,255 Carpark (Single Level),66
2020,September,Manningham,2 Community,25 Other Transport,256 Carpark (Multi Level),20
2020,September,Manningham,2 Community,25 Other Transport,257 Other Transport Type/Area,2
2020,September,Manningham,2 Community,26 Justice,261 Police Station,13
2020,September,Manningham,2 Community,27 Open Space,271 Parkland/Reserve,72
2020,September,Manningham,2 Community,27 Open Space,272 Rural,1
2020,September,Manningham,2 Community,27 Open Space,273 Vacant Block,2
2020,September,Manningham,2 Community,27 Open Space,275 Other Open Space,7
2020,September,Manningham,2 Community,28 Street/footpath,281 Street/Lane/Footpath,541
2020,September,Manningham,2 Community,29 Other community location,291 Cemetery,1
2020,September,Manningham,2 Community,29 Other community location,292 Civic Centre,4
2020,September,Manningham,2 Community,29 Other community location,294 Car Wash,4
2020,September,Manningham,3 Other,31 Admin/professional,311 Business Office,12
2020,September,Manningham,3 Other,31 Admin/professional,312 Other Admin/Professional,3
2020,September,Manningham,3 Other,32 Financial,321 Bank,7
2020,September,Manningham,3 Other,32 Financial,323 ATM/Eftpos,3
2020,September,Manningham,3 Other,32 Financial,324 Other Financial,2
2020,September,Manningham,3 Other,33 Retail,331 Chemist/Pharmacy,22
2020,September,Manningham,3 Other,33 Retail,3310 24Hr Convenience,10
2020,September,Manningham,3 Other,33 Retail,3311 Restaurant/Fastfood,57
2020,September,Manningham,3 Other,33 Retail,3312 Other Retail,118
2020,September,Manningham,3 Other,33 Retail,332 Service Station,114
2020,September,Manningham,3 Other,33 Retail,333 Jeweller,2
2020,September,Manningham,3 Other,33 Retail,334 2nd Hand Dealer,1
2020,September,Manningham,3 Other,33 Retail,335 Supermarket,75
2020,September,Manningham,3 Other,33 Retail,336 Department Store,37
2020,September,Manningham,3 Other,33 Retail,337 Shopping Complex,260
2020,September,Manningham,3 Other,33 Retail,338 Car Sales Yard,7
2020,September,Manningham,3 Other,33 Retail,339 Milkbar,1
2020,September,Manningham,3 Other,35 Warehousing/storage,351 Warehousing/Storage,4
2020,September,Manningham,3 Other,36 Manufacturing,361 Factory,3
2020,September,Manningham,3 Other,37 Agricultural,371 Farmland/Agricultural,5
2020,September,Manningham,3 Other,37 Agricultural,373 Other Agricultural,1
2020,September,Manningham,3 Other,38 Recreational,381 Licenced Premises,25
2020,September,Manningham,3 Other,38 Recreational,383 Cinema,1
2020,September,Manningham,3 Other,38 Recreational,384 Sport Area/Facility,16
2020,September,Manningham,3 Other,38 Recreational,385 Gaming Venue,7
2020,September,Manningham,3 Other,38 Recreational,386 Other Rec./Sports,7
2020,September,Manningham,3 Other,39 Other location,392 Other Location (Not Elsewhere),33
2020,September,Manningham,3 Other,39 Other location,393 Construction Site,18
2020,September,Manningham,3 Other,39 Other location,394 Veterinary Clinic,1
2020,September,Mansfield,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,5
2020,September,Mansfield,1 Residential,11 Dwelling - private,112 House,106
2020,September,Mansfield,1 Residential,11 Dwelling - private,113 Bungalow,1
2020,September,Mansfield,1 Residential,11 Dwelling - private,115 Houseboat,1
2020,September,Mansfield,1 Residential,11 Dwelling - private,116 Ministry Of Housing,6
2020,September,Mansfield,1 Residential,12 Dwelling  - non-private,122 Holiday Home,8
2020,September,Mansfield,1 Residential,12 Dwelling  - non-private,123 Guest House,1
2020,September,Mansfield,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,2
2020,September,Mansfield,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,1
2020,September,Mansfield,1 Residential,13 Grounds/surrounding land,1310 Farm Building,1
2020,September,Mansfield,1 Residential,13 Grounds/surrounding land,132 Backyard,9
2020,September,Mansfield,1 Residential,13 Grounds/surrounding land,133 Frontyard,11
2020,September,Mansfield,1 Residential,13 Grounds/surrounding land,134 Garage,12
2020,September,Mansfield,1 Residential,13 Grounds/surrounding land,135 Shed,4
2020,September,Mansfield,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,4
2020,September,Mansfield,2 Community,21 Education,211 School,4
2020,September,Mansfield,2 Community,21 Education,212 School Grounds,5
2020,September,Mansfield,2 Community,21 Education,213 Other Educational,1
2020,September,Mansfield,2 Community,23 Religious,231 Church,1
2020,September,Mansfield,2 Community,24 Public Transport,245 Bus/Bus Stop,1
2020,September,Mansfield,2 Community,25 Other Transport,253 Boat,1
2020,September,Mansfield,2 Community,25 Other Transport,255 Carpark (Single Level),6
2020,September,Mansfield,2 Community,26 Justice,261 Police Station,3
2020,September,Mansfield,2 Community,26 Justice,262 Court,2
2020,September,Mansfield,2 Community,27 Open Space,271 Parkland/Reserve,10
2020,September,Mansfield,2 Community,27 Open Space,272 Rural,6
2020,September,Mansfield,2 Community,27 Open Space,274 Beach Foreshore,1
2020,September,Mansfield,2 Community,27 Open Space,275 Other Open Space,5
2020,September,Mansfield,2 Community,28 Street/footpath,281 Street/Lane/Footpath,76
2020,September,Mansfield,3 Other,31 Admin/professional,311 Business Office,5
2020,September,Mansfield,3 Other,32 Financial,321 Bank,1
2020,September,Mansfield,3 Other,33 Retail,3311 Restaurant/Fastfood,5
2020,September,Mansfield,3 Other,33 Retail,3312 Other Retail,8
2020,September,Mansfield,3 Other,33 Retail,332 Service Station,4
2020,September,Mansfield,3 Other,33 Retail,335 Supermarket,5
2020,September,Mansfield,3 Other,35 Warehousing/storage,351 Warehousing/Storage,2
2020,September,Mansfield,3 Other,36 Manufacturing,361 Factory,2
2020,September,Mansfield,3 Other,36 Manufacturing,362 Any Manufacturing,1
2020,September,Mansfield,3 Other,37 Agricultural,371 Farmland/Agricultural,8
2020,September,Mansfield,3 Other,38 Recreational,381 Licenced Premises,3
2020,September,Mansfield,3 Other,38 Recreational,384 Sport Area/Facility,2
2020,September,Mansfield,3 Other,38 Recreational,386 Other Rec./Sports,3
2020,September,Mansfield,3 Other,39 Other location,392 Other Location (Not Elsewhere),6
2020,September,Maribyrnong,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,488
2020,September,Maribyrnong,1 Residential,11 Dwelling - private,112 House,"1,240"
2020,September,Maribyrnong,1 Residential,11 Dwelling - private,113 Bungalow,10
2020,September,Maribyrnong,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,1
2020,September,Maribyrnong,1 Residential,11 Dwelling - private,116 Ministry Of Housing,26
2020,September,Maribyrnong,1 Residential,12 Dwelling  - non-private,121 Boarding House,11
2020,September,Maribyrnong,1 Residential,12 Dwelling  - non-private,122 Holiday Home,2
2020,September,Maribyrnong,1 Residential,12 Dwelling  - non-private,123 Guest House,7
2020,September,Maribyrnong,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,19
2020,September,Maribyrnong,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,11
2020,September,Maribyrnong,1 Residential,13 Grounds/surrounding land,132 Backyard,44
2020,September,Maribyrnong,1 Residential,13 Grounds/surrounding land,133 Frontyard,156
2020,September,Maribyrnong,1 Residential,13 Grounds/surrounding land,134 Garage,62
2020,September,Maribyrnong,1 Residential,13 Grounds/surrounding land,135 Shed,14
2020,September,Maribyrnong,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,34
2020,September,Maribyrnong,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),42
2020,September,Maribyrnong,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,297
2020,September,Maribyrnong,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,210
2020,September,Maribyrnong,2 Community,21 Education,211 School,30
2020,September,Maribyrnong,2 Community,21 Education,212 School Grounds,17
2020,September,Maribyrnong,2 Community,21 Education,213 Other Educational,15
2020,September,Maribyrnong,2 Community,22 Health,221 Hospital,17
2020,September,Maribyrnong,2 Community,22 Health,222 Medical Centre,8
2020,September,Maribyrnong,2 Community,22 Health,223 Dental,2
2020,September,Maribyrnong,2 Community,22 Health,224 Other Health,13
2020,September,Maribyrnong,2 Community,23 Religious,231 Church,16
2020,September,Maribyrnong,2 Community,23 Religious,232 Other religious,1
2020,September,Maribyrnong,2 Community,24 Public Transport,241 Train,4
2020,September,Maribyrnong,2 Community,24 Public Transport,242 Train Station,238
2020,September,Maribyrnong,2 Community,24 Public Transport,243 Railway Carpark,33
2020,September,Maribyrnong,2 Community,24 Public Transport,244 Tram/Tram Stop,13
2020,September,Maribyrnong,2 Community,24 Public Transport,245 Bus/Bus Stop,38
2020,September,Maribyrnong,2 Community,24 Public Transport,246 Depot/Terminal,3
2020,September,Maribyrnong,2 Community,24 Public Transport,249 Taxi,4
2020,September,Maribyrnong,2 Community,25 Other Transport,251 Private Car,33
2020,September,Maribyrnong,2 Community,25 Other Transport,255 Carpark (Single Level),202
2020,September,Maribyrnong,2 Community,25 Other Transport,256 Carpark (Multi Level),60
2020,September,Maribyrnong,2 Community,25 Other Transport,257 Other Transport Type/Area,5
2020,September,Maribyrnong,2 Community,26 Justice,261 Police Station,21
2020,September,Maribyrnong,2 Community,26 Justice,265 Other Justice Facility,1
2020,September,Maribyrnong,2 Community,27 Open Space,271 Parkland/Reserve,102
2020,September,Maribyrnong,2 Community,27 Open Space,273 Vacant Block,2
2020,September,Maribyrnong,2 Community,27 Open Space,275 Other Open Space,17
2020,September,Maribyrnong,2 Community,28 Street/footpath,281 Street/Lane/Footpath,"1,909"
2020,September,Maribyrnong,2 Community,29 Other community location,291 Cemetery,1
2020,September,Maribyrnong,2 Community,29 Other community location,292 Civic Centre,8
2020,September,Maribyrnong,2 Community,29 Other community location,294 Car Wash,8
2020,September,Maribyrnong,3 Other,31 Admin/professional,311 Business Office,57
2020,September,Maribyrnong,3 Other,31 Admin/professional,312 Other Admin/Professional,7
2020,September,Maribyrnong,3 Other,32 Financial,321 Bank,32
2020,September,Maribyrnong,3 Other,32 Financial,323 ATM/Eftpos,4
2020,September,Maribyrnong,3 Other,32 Financial,324 Other Financial,2
2020,September,Maribyrnong,3 Other,33 Retail,331 Chemist/Pharmacy,23
2020,September,Maribyrnong,3 Other,33 Retail,3310 24Hr Convenience,30
2020,September,Maribyrnong,3 Other,33 Retail,3311 Restaurant/Fastfood,96
2020,September,Maribyrnong,3 Other,33 Retail,3312 Other Retail,242
2020,September,Maribyrnong,3 Other,33 Retail,332 Service Station,128
2020,September,Maribyrnong,3 Other,33 Retail,333 Jeweller,2
2020,September,Maribyrnong,3 Other,33 Retail,334 2nd Hand Dealer,3
2020,September,Maribyrnong,3 Other,33 Retail,335 Supermarket,179
2020,September,Maribyrnong,3 Other,33 Retail,336 Department Store,70
2020,September,Maribyrnong,3 Other,33 Retail,337 Shopping Complex,385
2020,September,Maribyrnong,3 Other,33 Retail,338 Car Sales Yard,48
2020,September,Maribyrnong,3 Other,33 Retail,339 Milkbar,6
2020,September,Maribyrnong,3 Other,34 Wholesale,341 Any Wholesale,7
2020,September,Maribyrnong,3 Other,35 Warehousing/storage,351 Warehousing/Storage,63
2020,September,Maribyrnong,3 Other,36 Manufacturing,361 Factory,39
2020,September,Maribyrnong,3 Other,36 Manufacturing,362 Any Manufacturing,10
2020,September,Maribyrnong,3 Other,37 Agricultural,371 Farmland/Agricultural,1
2020,September,Maribyrnong,3 Other,37 Agricultural,373 Other Agricultural,2
2020,September,Maribyrnong,3 Other,38 Recreational,381 Licenced Premises,56
2020,September,Maribyrnong,3 Other,38 Recreational,382 Tab,1
2020,September,Maribyrnong,3 Other,38 Recreational,383 Cinema,1
2020,September,Maribyrnong,3 Other,38 Recreational,384 Sport Area/Facility,42
2020,September,Maribyrnong,3 Other,38 Recreational,385 Gaming Venue,11
2020,September,Maribyrnong,3 Other,38 Recreational,386 Other Rec./Sports,33
2020,September,Maribyrnong,3 Other,39 Other location,392 Other Location (Not Elsewhere),89
2020,September,Maribyrnong,3 Other,39 Other location,393 Construction Site,36
2020,September,Maroondah,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,297
2020,September,Maroondah,1 Residential,11 Dwelling - private,112 House,"1,251"
2020,September,Maroondah,1 Residential,11 Dwelling - private,113 Bungalow,7
2020,September,Maroondah,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,3
2020,September,Maroondah,1 Residential,11 Dwelling - private,116 Ministry Of Housing,14
2020,September,Maroondah,1 Residential,12 Dwelling  - non-private,121 Boarding House,16
2020,September,Maroondah,1 Residential,12 Dwelling  - non-private,122 Holiday Home,1
2020,September,Maroondah,1 Residential,12 Dwelling  - non-private,123 Guest House,2
2020,September,Maroondah,1 Residential,12 Dwelling  - non-private,124 Nursing Home,25
2020,September,Maroondah,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,23
2020,September,Maroondah,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,5
2020,September,Maroondah,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,1
2020,September,Maroondah,1 Residential,13 Grounds/surrounding land,132 Backyard,27
2020,September,Maroondah,1 Residential,13 Grounds/surrounding land,133 Frontyard,127
2020,September,Maroondah,1 Residential,13 Grounds/surrounding land,134 Garage,52
2020,September,Maroondah,1 Residential,13 Grounds/surrounding land,135 Shed,20
2020,September,Maroondah,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,15
2020,September,Maroondah,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),17
2020,September,Maroondah,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,332
2020,September,Maroondah,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,48
2020,September,Maroondah,2 Community,21 Education,211 School,45
2020,September,Maroondah,2 Community,21 Education,212 School Grounds,21
2020,September,Maroondah,2 Community,21 Education,213 Other Educational,7
2020,September,Maroondah,2 Community,22 Health,221 Hospital,49
2020,September,Maroondah,2 Community,22 Health,222 Medical Centre,17
2020,September,Maroondah,2 Community,22 Health,223 Dental,1
2020,September,Maroondah,2 Community,22 Health,224 Other Health,14
2020,September,Maroondah,2 Community,23 Religious,231 Church,15
2020,September,Maroondah,2 Community,23 Religious,232 Other religious,3
2020,September,Maroondah,2 Community,24 Public Transport,241 Train,4
2020,September,Maroondah,2 Community,24 Public Transport,242 Train Station,201
2020,September,Maroondah,2 Community,24 Public Transport,243 Railway Carpark,21
2020,September,Maroondah,2 Community,24 Public Transport,245 Bus/Bus Stop,8
2020,September,Maroondah,2 Community,24 Public Transport,246 Depot/Terminal,1
2020,September,Maroondah,2 Community,24 Public Transport,248 Office (Public transport office Only),1
2020,September,Maroondah,2 Community,24 Public Transport,249 Taxi,2
2020,September,Maroondah,2 Community,25 Other Transport,251 Private Car,18
2020,September,Maroondah,2 Community,25 Other Transport,255 Carpark (Single Level),119
2020,September,Maroondah,2 Community,25 Other Transport,256 Carpark (Multi Level),21
2020,September,Maroondah,2 Community,25 Other Transport,257 Other Transport Type/Area,15
2020,September,Maroondah,2 Community,26 Justice,261 Police Station,53
2020,September,Maroondah,2 Community,26 Justice,262 Court,312
2020,September,Maroondah,2 Community,26 Justice,264 Youth Training Centre,3
2020,September,Maroondah,2 Community,26 Justice,265 Other Justice Facility,5
2020,September,Maroondah,2 Community,27 Open Space,271 Parkland/Reserve,72
2020,September,Maroondah,2 Community,27 Open Space,272 Rural,1
2020,September,Maroondah,2 Community,27 Open Space,273 Vacant Block,1
2020,September,Maroondah,2 Community,27 Open Space,275 Other Open Space,13
2020,September,Maroondah,2 Community,28 Street/footpath,281 Street/Lane/Footpath,919
2020,September,Maroondah,2 Community,29 Other community location,292 Civic Centre,5
2020,September,Maroondah,2 Community,29 Other community location,294 Car Wash,4
2020,September,Maroondah,3 Other,31 Admin/professional,311 Business Office,22
2020,September,Maroondah,3 Other,31 Admin/professional,312 Other Admin/Professional,10
2020,September,Maroondah,3 Other,32 Financial,321 Bank,4
2020,September,Maroondah,3 Other,32 Financial,323 ATM/Eftpos,2
2020,September,Maroondah,3 Other,32 Financial,324 Other Financial,2
2020,September,Maroondah,3 Other,33 Retail,331 Chemist/Pharmacy,15
2020,September,Maroondah,3 Other,33 Retail,3310 24Hr Convenience,20
2020,September,Maroondah,3 Other,33 Retail,3311 Restaurant/Fastfood,67
2020,September,Maroondah,3 Other,33 Retail,3312 Other Retail,245
2020,September,Maroondah,3 Other,33 Retail,332 Service Station,187
2020,September,Maroondah,3 Other,33 Retail,334 2nd Hand Dealer,16
2020,September,Maroondah,3 Other,33 Retail,335 Supermarket,112
2020,September,Maroondah,3 Other,33 Retail,336 Department Store,45
2020,September,Maroondah,3 Other,33 Retail,337 Shopping Complex,284
2020,September,Maroondah,3 Other,33 Retail,338 Car Sales Yard,24
2020,September,Maroondah,3 Other,33 Retail,339 Milkbar,7
2020,September,Maroondah,3 Other,34 Wholesale,341 Any Wholesale,2
2020,September,Maroondah,3 Other,35 Warehousing/storage,351 Warehousing/Storage,24
2020,September,Maroondah,3 Other,36 Manufacturing,361 Factory,57
2020,September,Maroondah,3 Other,36 Manufacturing,362 Any Manufacturing,16
2020,September,Maroondah,3 Other,37 Agricultural,371 Farmland/Agricultural,1
2020,September,Maroondah,3 Other,38 Recreational,381 Licenced Premises,45
2020,September,Maroondah,3 Other,38 Recreational,382 Tab,2
2020,September,Maroondah,3 Other,38 Recreational,383 Cinema,3
2020,September,Maroondah,3 Other,38 Recreational,384 Sport Area/Facility,21
2020,September,Maroondah,3 Other,38 Recreational,385 Gaming Venue,11
2020,September,Maroondah,3 Other,38 Recreational,386 Other Rec./Sports,22
2020,September,Maroondah,3 Other,39 Other location,392 Other Location (Not Elsewhere),61
2020,September,Maroondah,3 Other,39 Other location,393 Construction Site,18
2020,September,Maroondah,3 Other,39 Other location,394 Veterinary Clinic,1
2020,September,Melbourne,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,"3,099"
2020,September,Melbourne,1 Residential,11 Dwelling - private,112 House,695
2020,September,Melbourne,1 Residential,11 Dwelling - private,113 Bungalow,2
2020,September,Melbourne,1 Residential,11 Dwelling - private,115 Houseboat,2
2020,September,Melbourne,1 Residential,11 Dwelling - private,116 Ministry Of Housing,64
2020,September,Melbourne,1 Residential,12 Dwelling  - non-private,121 Boarding House,50
2020,September,Melbourne,1 Residential,12 Dwelling  - non-private,122 Holiday Home,5
2020,September,Melbourne,1 Residential,12 Dwelling  - non-private,123 Guest House,28
2020,September,Melbourne,1 Residential,12 Dwelling  - non-private,124 Nursing Home,4
2020,September,Melbourne,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,508
2020,September,Melbourne,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,126
2020,September,Melbourne,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,3
2020,September,Melbourne,1 Residential,13 Grounds/surrounding land,132 Backyard,27
2020,September,Melbourne,1 Residential,13 Grounds/surrounding land,133 Frontyard,132
2020,September,Melbourne,1 Residential,13 Grounds/surrounding land,134 Garage,113
2020,September,Melbourne,1 Residential,13 Grounds/surrounding land,135 Shed,12
2020,September,Melbourne,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,40
2020,September,Melbourne,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),298
2020,September,Melbourne,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,107
2020,September,Melbourne,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,822
2020,September,Melbourne,2 Community,21 Education,211 School,94
2020,September,Melbourne,2 Community,21 Education,212 School Grounds,57
2020,September,Melbourne,2 Community,21 Education,213 Other Educational,187
2020,September,Melbourne,2 Community,22 Health,221 Hospital,243
2020,September,Melbourne,2 Community,22 Health,222 Medical Centre,28
